Date d'envoi;Titre;Type d'email;Nom de la newsletter;Details clics;Nombre d'utilisateurs;Total clics;;Evénement - Niveau 2;Evénement - Niveau 3;Evénement - Niveau 4;Evénements;;;;;;;;;;
20241106;Voix Du Nord;Newsletter;Edition Soir abo;cta lili keller;2;2;;display;VDN_241004_undersocial_lili_leignel - undersocial;N/A;1608159;;;;;;;;;;
20241105;Voix Du Nord;Newsletter;Edition Matin;cta lili keller;12;12;;click;VDN_241004_undersocial_lili_leignel - undersocial;cta;2188;;;;;;;;;;
20241103;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;35;39;;;;;0,14%;;;;;;;;;;
20241102;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;45;48;;;;;;;;;;;;;;;
20241101;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;43;46;;;;;;;;;;;;;;;
20241030;Voix Du Nord;Newsletter;Edition Soir abo;cta lili keller;16;19;;Date d'envoi;Nom de la newsletter;#Mails cibles;#Mails delivres;#Rebonds;Taux de delivrabilite;#Vues uniques;Taux d'ouverture;#Clics uniques;Taux de clic;Taux de reactivite;Taux de desabo;;
20241029;Voix Du Nord;Newsletter;Edition Matin;cta lili keller;9;10;;20241004;VDN_20241004_COM_SERIE_LILI;43399;43356;43;99,90%;12760;29,43%;508;1,17%;3,98%;0,00%;BOn Tx de clic;o
20241027;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;43;46;;;;;;;;;;;;;;;
20241026;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;40;41;;;;;;;;;;;;;;;
20241025;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;6;6;;;;;;;;;;;;;;;
20241021;Voix Du Nord;Newsletter;Edition Matin;cta lili keller;12;12;;;;;;;;;;;;;;;
20241020;Voix Du Nord;Newsletter;Edition Soir abo;cta lili keller;25;28;;;;;;;;;;;;;;;
20241020;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;50;61;;;;;;;;;;;;;;;
20241019;Voix Du Nord;Newsletter;Edition Matin;cta lili keller;13;14;;;;;;;;;;;;;;;
20241018;Voix Du Nord;Newsletter;Edition Soir abo;cta lili keller;9;12;;;;;;;;;;;;;;;
20241018;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;31;37;;;;;;;;;;;;;;;
20241016;Voix Du Nord;Newsletter;Edition Matin;cta lili keller;13;13;;;;;;;;;;;;;;;
20241015;Voix Du Nord;Newsletter;Edition Soir abo;cta lili keller;23;28;;;;;;;;;;;;;;;
20241015;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;54;57;;;;;;;;;;;;;;;
20241014;Voix Du Nord;Newsletter;Edition Matin;cta lili keller;15;17;;;;;;;;;;;;;;;
20241013;Voix Du Nord;Newsletter;Edition Soir abo;cta lili keller;12;13;;;;;;;;;;;;;;;
20241013;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;46;51;;;;;;;;;;;;;;;
20241012;Voix Du Nord;Newsletter;Edition Matin;cta lili keller;15;15;;;;;;;;;;;;;;;
20241011;Voix Du Nord;Newsletter;Edition Soir abo;cta lili keller;15;18;;;;;;;;;;;;;;;
20241011;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;39;48;;;;;;;;;;;;;;;
20241009;Voix Du Nord;Newsletter;Edition Matin;cta lili keller;9;13;;;;;;;;;;;;;;;
20241008;Voix Du Nord;Newsletter;Edition Soir abo;cta lili keller;13;14;;;;;;;;;;;;;;;
20241008;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;39;50;;;;;;;;;;;;;;;
20241007;Voix Du Nord;Newsletter;Edition Matin;cta lili keller;7;7;;;;;;;;;;;;;;;
20241006;Voix Du Nord;Newsletter;Edition Soir abo;cta lili keller;20;20;;;;;;;;;;;;;;;
20241006;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;43;52;;;;;;;;;;;;;;;
20241005;Voix Du Nord;Newsletter;Edition Matin;cta lili keller;14;15;;;;;;;;;;;;;;;
20241004;Voix Du Nord;Newsletter;Edition Soir abo;cta lili keller;13;13;;;;;;;;;;;;;;;
20241004;Voix Du Nord;Newsletter;Edition Soir nonabo;cta lili keller;48;58;;;;;;;;;;;;;;;
;;;;;829;935;;;;;;;;;;;;;;;
